date,stars,name,country,title,body,is_pinned,short
"2024-11-19",5,"Afantee","US","Do yourself a favor and buy it right now!!!","This damn thing is my new bestie!! I am SO thankful to have found it. I am a light sleeper to begin with and the boot was making sleep impossible! It felt like a torture chamber at night. At the 2 week mark (non-op) my Dr. approved this, and I am sleeping 6-8 hours a night which is my norm. I have read people think it is too expensive??? It is priceless! Some say it is a bit uncomfortable, but if you add a nice thick wool sock under it, you will quickly adjust to the slight discomfort. Seriously, if you are struggling with the boot at night, treat yourself with this wonderful device!!!",,
"2024-04-29",5,"Vivek","US","Perfect splint for achilles injury recovery","Works great to keep the achilles tendon in relaxed state when recovering from a achilles injury or post-op. It literally takes a few secs to put on and remove. I've been using it for a couple of weeks now and its working well. I take my boots off for the night and wear this while sleeping. Its comfortable as well. Highly recommend if you are in the recovery stage of an achilles rupture post-op and out of the cast.",true,"It literally takes a few secs to put on and remove. Its comfortable as well. Highly recommend."
"2024-04-29",5,"Zahi","US","Saver","Magificent thinking and huge contribution to wellbeing when the little things seem to be non trivial any more. In a challenging period, where I am limited in mobility, this product allowed me removing the heavy and clumsy boot at night, get my foot ventilazed, and improving my sleep. Excellent product!",,
"2022-10-23",5,"Brandon","US","Life Saver!","This worked great and kept me from having to wear my big clunky walking boot to bed! So glad I found this. I couldn't sleep with that walking boot at night!! Great product.",true,
"2024-11-12",5,"MsCoyote","US","Achilles surgery lifesaver!","I had reconstructive surgery of my left Achilles' tendon and will be wearing a boot for 6 mos to a year. I read the reviews and even though it was a little expensive, it was worth every penny! I use it at night and it keeps my left foot and ankle in the proper position. I wear two socks with the brace. I can sleep comfortably with this brace! It is a lifesaver!",,
"2024-10-02",5,"Kaylin","US","I can sleep now!","I completely ruptured my achilles and had surgery. I didn't get any sleep for the first 1 1/2 months in my heavy boot. Plus deep cleaning it every night before bed got so old. I decided to buy this so I could try to get some sleep the last month in my boot! I have been sleeping so much better! I personally wouldn't recommend using this until a wedge has come out of your boot. I think you'll need more support than this product can offer right after surgery. But I think switching over to this nighttime brace about halfway through the boot recovery time felt pretty safe and comfortable. I wear a sock with it for comfort. I wish it was cheaper, but it definitely helps me get some sleep! 2 more weeks until I'm back in my shoes with a heel lift!! I hope this helps someone going through this recovery! Good luck and quick healing!",,
"2024-05-23",5,"Afantee","DE","Eine absolute Erleichterung!","Nach der OP an der Achillessehne war diese Schiene eine Erleichterung in der Nacht! Würde ich auf alle Fälle empfehlen wenn man wieder durchschlafen möchte!",true,
"2024-05-23",5,"Bixi","DE","Großartige Schiene","Endlich wieder nachts schlafen. Die Schiene ist leicht, gut gepolstert und lässt wieder Luft an den Fuß. Sie liegt gut an und hält den Fuß in Position.

Warum gibt es die nicht hier in den Sanitätshäusern? Nicht mal ein Hinweis darauf! Bin im Internet darauf gestoßen und hätte sie gerne von Anfang an gehabt. Welch eine Erleichterung.",,
"2024-04-02",5,"Sven","DE","Ein Gamechanger","Nach meiner Achillessehnenruptur und meiner op, habe ich die ersten Nächte mit Orthese geschlafen. Länger als eine Stunde am Stück schlafen und mit ständigen Positionswechseln und Druckschmerzen waren die Nächte eine reine Qual. Zum Glück habe ich dann diese Schiene bei Amazon entdeckt. Klar ist es ein Nieschenprodukt und klar ist der Preis angesichts der verbauten Materialien viel zu hoch und trotzdem ist mir die Schiene jeden Cent wert, denn sie war der Gamechanger für meine Nächte:) Endlich geschützt und trotzdem recht frei schlafen zu können, war eine wahre Wohltat für meinen Schlaf:) wichtig... die Schiene korrekt anzulegen, aber die Klettverschlüsse nicht zu fest zu zurren, da man sonst nachts ebenfalls starke Schmerzen bekommt. Sollte in allen Sanitätshäusern im Regal liegen und auch empfohlen werden, denn guter Schlaf trägt erheblich zur Regeneration und Heilung bei :)",,
"2023-03-05",5,"Millie","US","Splint that does the job","I read the reviews for the splint but nn one said much about foot size or leg length. As I am a size 3.5 (36) GB size feet and only 5 feet tall (short legs) I was rather undecided whether the small would fit as it is advertised smaller than a size 8 which is a lot bigger than I am. As you will see from the photo it fits perfectly and keeps my ruptured Achilles in place while I sleep. This is a great step forward (sorry about the pun) as although I had found a way of sleeping with my boot on, this works much better. It's lighter for a start and keeps my foot supported at the right angle. The splint sits in place with the straps done up and they don't need to be too tight to keep it secure. I wear an ankle support under it as my foot gets cold and this also seems to help keep it secure. I'm not sure about the size 8 cut off for sizing though, as I think someone with a longer leg, and bigger foot than me might need the large to get the ankle strap in the right place. You must not use the splint to weight-bear so I only use it for sleeping or resting. As a doctor and psychologist I've found my ruptured Achilles incredibly frustrating so having the splint offers a bit of comfort in miserable circumstances. The price reflects the special nature of the product, though I recognise that not everyone is as fortunate as I am and maybe totally reliant on NHS-provided aids. I found the splint through the Achilles rupture e book by Matthew Solan and if you are looking for good info on this injury the e book is definitely worth a read. If you are reading this because like me you have ruptured your Achilles I empathise and wish you well with your recovery. Please do follow your doctor's instructions to get it soonest mended.",,
"2023-02-17",5,"JDASA","US","Well worth it, comfort and keeps it in place","After surgery and post op week 2 when the splint was removed, had a horrible night sleep with the splint. Went and bought this. Expensive but man did it help. Also was able to wear it while sitting and doing work as long as I don't step down. Boot was to tiring for it to be comfortable all day.",,
"2023-05-24",5,"Anonymous","GB","I'm relieved this exists","This splint has proved the difference between a good nights sleep and barely any sleep at all. Wearing it at other odd times that boot is inconvenient also gives me confidence that I won't unexpectedly pull my foot upwards.",,
"2024-02-06",5,"Az","GB","Superb","Really useful after my dreadful Achilles tendon tear when I didn't want to wear the boot in bed!",true,
"2024-05-24",5,"Rem","GB","A Must","This boot was an excellent buy. I have a ruptured Achilles and this allows me to remove the big boot on occasion, just make sure you keep your toes forward during transition, someone to help would be an advantage too. Would recommend, but as the product states, 'only for a ruptured Achilles.'",,
"2022-05-15",5,"John","GB","Night time saviour","This is a saviour for night time wearing. So much easier than the big boot. You need to be careful of getting up. I started using a crutch initially but as confidence grew just tried to ensure that I was careful. Five weeks down and another five or six to go. Would have struggled with the full boot.",true,"This is a saviour for night time wearing. So much easier than the big boot. Five weeks down and another five or six to go. Would have struggled with the full boot."
"2022-06-22",5,"Paul","GB","Peace of mind for Achilles injuries","A great alternative to wearing the walking boot to bed, without worrying about inadvertently straightening or knocking your foot.",true,
"2022-07-14",5,"Cat","GB","Alternative to sleeping in that big boot!","Bring summer I was finding that big boot for protecting my leg too hot. I got approval from a Dr that using this when sleep from week 4 would be fine. It has made such a difference!",,
"2022-11-18",5,"Louise","GB","Wonderful device and splendid service","Brilliant device. Arrived the day after it was ordered. Delighted in all respects.",true,
"2022-07-06",5,"Jonathan","GB","Well designed product.","This product is well designed. It gives good protection to injured Achilles' tendon whilst sleeping. Allows much better sleep compared to the pressure boot.",true,
"2022-09-09",5,"Jeremy","GB","Just perfect in a bad situation","This is a great idea, wasn't looking forward too keeping the aircast boot on all day and night.",,
"2022-05-26",5,"Avi","GB","Could not survive without this item","This item saved me from going crazy with a boot following my operation to fix my leg.",,
"2022-05-28",5,"Peter","GB","A welcome relief from the boot","I'm glad my consultant recommended this as it makes sleeping much easier.",,
"2022-05-17",5,"Richard","GB","Protects during sleep but let's your leg breathe","Lightweight yet supportive, allows for a good night's sleep",,
